model,fpr,tpr
Logistic Regression,0.0,0.0
Logistic Regression,0.0,0.002347417840375587
Logistic Regression,0.0,0.16666666666666666
Logistic Regression,0.0015082956259426848,0.16666666666666666
Logistic Regression,0.0015082956259426848,0.7018779342723005
Logistic Regression,0.004524886877828055,0.7018779342723005
Logistic Regression,0.004524886877828055,0.7300469483568075
Logistic Regression,0.006033182503770739,0.7300469483568075
Logistic Regression,0.006033182503770739,0.7488262910798122
Logistic Regression,0.007541478129713424,0.7488262910798122
Logistic Regression,0.007541478129713424,0.8145539906103286
Logistic Regression,0.00904977375565611,0.8145539906103286
Logistic Regression,0.00904977375565611,0.8333333333333334
Logistic Regression,0.010558069381598794,0.8333333333333334
Logistic Regression,0.010558069381598794,0.8356807511737089
Logistic Regression,0.012066365007541479,0.8356807511737089
Logistic Regression,0.012066365007541479,0.8427230046948356
Logistic Regression,0.013574660633484163,0.8427230046948356
Logistic Regression,0.013574660633484163,0.8474178403755869
Logistic Regression,0.015082956259426848,0.8474178403755869
Logistic Regression,0.015082956259426848,0.8497652582159625
Logistic Regression,0.01809954751131222,0.8497652582159625
Logistic Regression,0.01809954751131222,0.852112676056338
Logistic Regression,0.0196078431372549,0.852112676056338
Logistic Regression,0.0196078431372549,0.8568075117370892
Logistic Regression,0.02262443438914027,0.8568075117370892
Logistic Regression,0.02262443438914027,0.8591549295774648
Logistic Regression,0.024132730015082957,0.8591549295774648
Logistic Regression,0.024132730015082957,0.8615023474178404
Logistic Regression,0.02564102564102564,0.8615023474178404
Logistic Regression,0.02564102564102564,0.863849765258216
Logistic Regression,0.033182503770739065,0.863849765258216
Logistic Regression,0.033182503770739065,0.8708920187793427
Logistic Regression,0.03469079939668175,0.8708920187793427
Logistic Regression,0.03469079939668175,0.8779342723004695
Logistic Regression,0.03770739064856712,0.8779342723004695
Logistic Regression,0.03770739064856712,0.8802816901408451
Logistic Regression,0.05128205128205128,0.8802816901408451
Logistic Regression,0.05128205128205128,0.8826291079812206
Logistic Regression,0.05429864253393665,0.8826291079812206
Logistic Regression,0.05429864253393665,0.8849765258215962
Logistic Regression,0.05731523378582202,0.8849765258215962
Logistic Regression,0.05731523378582202,0.8873239436619719
Logistic Regression,0.058823529411764705,0.8873239436619719
Logistic Regression,0.058823529411764705,0.8896713615023474
Logistic Regression,0.06485671191553545,0.8896713615023474
Logistic Regression,0.06485671191553545,0.892018779342723
Logistic Regression,0.07239819004524888,0.892018779342723
Logistic Regression,0.07239819004524888,0.8943661971830986
Logistic Regression,0.07390648567119155,0.8943661971830986
Logistic Regression,0.07390648567119155,0.8990610328638498
Logistic Regression,0.07541478129713423,0.8990610328638498
Logistic Regression,0.07541478129713423,0.9014084507042254
Logistic Regression,0.08295625942684766,0.9014084507042254
Logistic Regression,0.08295625942684766,0.903755868544601
Logistic Regression,0.0889894419306184,0.903755868544601
Logistic Regression,0.0889894419306184,0.9061032863849765
Logistic Regression,0.09049773755656108,0.9061032863849765
Logistic Regression,0.09049773755656108,0.9084507042253521
Logistic Regression,0.10256410256410256,0.9084507042253521
Logistic Regression,0.10256410256410256,0.9107981220657277
Logistic Regression,0.1085972850678733,0.9107981220657277
Logistic Regression,0.1085972850678733,0.9154929577464789
Logistic Regression,0.11010558069381599,0.9154929577464789
Logistic Regression,0.11010558069381599,0.92018779342723
Logistic Regression,0.11161387631975868,0.92018779342723
Logistic Regression,0.11161387631975868,0.9225352112676056
Logistic Regression,0.12066365007541478,0.9225352112676056
Logistic Regression,0.12066365007541478,0.9248826291079812
Logistic Regression,0.12518853695324283,0.9248826291079812
Logistic Regression,0.12518853695324283,0.9295774647887324
Logistic Regression,0.13423831070889894,0.9295774647887324
Logistic Regression,0.13423831070889894,0.931924882629108
Logistic Regression,0.14328808446455504,0.931924882629108
Logistic Regression,0.14328808446455504,0.9366197183098591
Logistic Regression,0.14630467571644043,0.9366197183098591
Logistic Regression,0.14630467571644043,0.9389671361502347
Logistic Regression,0.15384615384615385,0.9389671361502347
Logistic Regression,0.15384615384615385,0.9413145539906104
Logistic Regression,0.1689291101055807,0.9413145539906104
Logistic Regression,0.1689291101055807,0.9436619718309859
Logistic Regression,0.17345399698340874,0.9436619718309859
Logistic Regression,0.17345399698340874,0.9460093896713615
Logistic Regression,0.18401206636500755,0.9460093896713615
Logistic Regression,0.18401206636500755,0.9483568075117371
Logistic Regression,0.18552036199095023,0.9483568075117371
Logistic Regression,0.18552036199095023,0.9507042253521126
Logistic Regression,0.19607843137254902,0.9507042253521126
Logistic Regression,0.19607843137254902,0.9553990610328639
Logistic Regression,0.20060331825037708,0.9553990610328639
Logistic Regression,0.20060331825037708,0.9577464788732394
Logistic Regression,0.2171945701357466,0.9577464788732394
Logistic Regression,0.2171945701357466,0.960093896713615
Logistic Regression,0.30618401206636503,0.960093896713615
Logistic Regression,0.30618401206636503,0.9624413145539906
Logistic Regression,0.31070889894419307,0.9624413145539906
Logistic Regression,0.31070889894419307,0.9647887323943662
Logistic Regression,0.3152337858220211,0.9647887323943662
Logistic Regression,0.3152337858220211,0.9671361502347418
Logistic Regression,0.3770739064856712,0.9671361502347418
Logistic Regression,0.3770739064856712,0.9694835680751174
Logistic Regression,0.42835595776772245,0.9694835680751174
Logistic Regression,0.42835595776772245,0.971830985915493
Logistic Regression,0.45852187028657615,0.971830985915493
Logistic Regression,0.45852187028657615,0.9741784037558685
Logistic Regression,0.473604826546003,0.9741784037558685
Logistic Regression,0.473604826546003,0.9765258215962441
Logistic Regression,0.49019607843137253,0.9765258215962441
Logistic Regression,0.49019607843137253,0.9788732394366197
Logistic Regression,0.555052790346908,0.9788732394366197
Logistic Regression,0.555052790346908,0.9812206572769953
Logistic Regression,0.6229260935143288,0.9812206572769953
Logistic Regression,0.6229260935143288,0.9835680751173709
Logistic Regression,0.7119155354449472,0.9835680751173709
Logistic Regression,0.7119155354449472,0.9859154929577465
Logistic Regression,0.751131221719457,0.9859154929577465
Logistic Regression,0.751131221719457,0.9882629107981221
Logistic Regression,0.77526395173454,0.9882629107981221
Logistic Regression,0.77526395173454,0.9906103286384976
Logistic Regression,0.8265460030165912,0.9906103286384976
Logistic Regression,0.8265460030165912,0.9929577464788732
Logistic Regression,0.8521870286576169,0.9929577464788732
Logistic Regression,0.8521870286576169,0.9953051643192489
Logistic Regression,0.8733031674208145,0.9953051643192489
Logistic Regression,0.8733031674208145,0.9976525821596244
Logistic Regression,0.9004524886877828,0.9976525821596244
Logistic Regression,0.9004524886877828,1.0
Logistic Regression,1.0,1.0
Decision Tree,0.0,0.0
Decision Tree,0.010558069381598794,0.6032863849765259
Decision Tree,0.013574660633484163,0.6314553990610329
Decision Tree,0.013574660633484163,0.6549295774647887
Decision Tree,0.016591251885369532,0.6690140845070423
